	Mass	       Radius	   Mag Field	 Alpha_BL	Mdot		Epsilon		GammaPhi	Delta	   Deltanu/1000	      Nu1	   DNu/Nu1	  Delta*R_in	R_in/R_ISCO    R_in/R_*
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.48619E-02    9.88397E-02    5.78293E-02    2.93314E-01    6.53922E-01    4.48546E-01    1.89054E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.36529E-02    9.36960E-02    5.50171E-02    2.97871E-01    6.57843E-01    4.52800E-01    1.79860E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.03965E-02    7.85289E-02    4.74426E-02    3.11308E-01    6.60784E-01    4.71119E-01    1.55098E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    1.99511E-02    7.72297E-02    4.64067E-02    3.12459E-01    6.64706E-01    4.70071E-01    1.51711E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.22568E-02    8.90580E-02    5.17697E-02    3.01980E-01    6.67647E-01    4.52305E-01    1.69244E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    1.86568E-02    7.21413E-02    4.33962E-02    3.16967E-01    6.69608E-01    4.73362E-01    1.41869E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.26766E-02    9.31034E-02    5.27461E-02    2.98396E-01    6.75490E-01    4.41747E-01    1.72436E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.13397E-02    7.96396E-02    4.96365E-02    3.10324E-01    6.45098E-01    4.81049E-01    1.62270E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.44156E-02    9.47412E-02    5.67911E-02    2.96945E-01    6.47059E-01    4.58915E-01    1.85660E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.56348E-02    1.02033E-01    5.96270E-02    2.90485E-01    6.50980E-01    4.46227E-01    1.94931E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.35721E-02    2.38068E-02    9.32231E-02    5.53752E-02    2.98290E-01    6.52941E-01    4.56841E-01    1.81031E-01    7.35196E+00    2.97197E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    2.38885E-02    1.82614E-02    7.10307E-02    4.24763E-02    3.19773E-01    6.77451E-01    4.72024E-01    1.38334E-01    7.32400E+00    2.96067E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.21150E-02    4.63055E-02    9.94488E-02    1.07707E-01    3.34268E-01    4.62745E-01    7.22359E-01    3.22336E-01    6.73021E+00    2.72064E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.21150E-02    4.84390E-02    9.56030E-02    1.12670E-01    3.38158E-01    4.34314E-01    7.78603E-01    3.37188E-01    6.73021E+00    2.72064E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.21150E-02    5.11829E-02    1.23641E-01    1.19052E-01    3.09798E-01    4.84314E-01    6.39664E-01    3.56288E-01    6.73021E+00    2.72064E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.24315E-02    4.29635E-02    1.01846E-01    9.99340E-02    3.33240E-01    5.01961E-01    6.63876E-01    2.98236E-01    6.71138E+00    2.71303E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.24315E-02    4.72639E-02    1.01581E-01    1.09937E-01    3.33510E-01    4.62745E-01    7.20721E-01    3.28087E-01    6.71138E+00    2.71303E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.24315E-02    4.55174E-02    9.29811E-02    1.05874E-01    3.42245E-01    4.51961E-01    7.57245E-01    3.15964E-01    6.71138E+00    2.71303E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.24315E-02    5.57670E-02    1.14430E-01    1.29715E-01    3.20458E-01    4.31373E-01    7.42879E-01    3.87113E-01    6.71138E+00    2.71303E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.24315E-02    5.23543E-02    1.11998E-01    1.21777E-01    3.22929E-01    4.50000E-01    7.17620E-01    3.63423E-01    6.71138E+00    2.71303E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.24315E-02    4.47054E-02    1.11487E-01    1.03986E-01    3.23448E-01    5.12745E-01    6.30816E-01    3.10327E-01    6.71138E+00    2.71303E+00
    1.50000E+00    1.10000E+06    1.09043E+08    2.32602E+00    3.24315E-02    4.84073E-02    1.13223E-01    1.12596E-01    3.21684E-01    4.84314E-01    6.64205E-01    3.36025E-01    6.71138E+00    2.71303E+00
