    4.73209E+02    3.25336E+02    3.28700E+02    3.22197E+02
    5.55452E+02    3.17040E+02    3.32287E+02    3.01345E+02
    5.61059E+02    3.13229E+02    3.16816E+02    3.09417E+02
    5.87227E+02    3.05605E+02    3.10762E+02    3.00448E+02
    6.22741E+02    2.99552E+02    3.04709E+02    2.93946E+02
    6.59502E+02    2.96413E+02    3.06726E+02    2.86099E+02
    6.82555E+02    3.11435E+02    3.21076E+02    3.01121E+02
    7.24922E+02    3.15919E+02    3.26682E+02    3.05381E+02
    7.54206E+02    2.90807E+02    3.00448E+02    2.81614E+02
    7.72274E+02    2.52915E+02    2.65695E+02    2.40359E+02
    7.87850E+02    2.59417E+02    2.67040E+02    2.51345E+02
    8.22741E+02    2.38789E+02    2.58072E+02    2.19955E+02
    8.66355E+02    2.25336E+02    2.37220E+02    2.13453E+02
