    0.13412E+01    0.27805E+01    0.20731E+01
    0.13412E+01    0.27805E+01    0.20731E+01
    0.13353E+01    0.27804E+01    0.20822E+01
    0.13456E+01    0.27749E+01    0.20622E+01
    0.13456E+01    0.27749E+01    0.20622E+01
    0.13647E+01    0.27695E+01    0.20294E+01
    0.13647E+01    0.27695E+01    0.20294E+01
    0.13529E+01    0.27694E+01    0.20470E+01
    0.13529E+01    0.27694E+01    0.20470E+01
    0.13588E+01    0.27694E+01    0.20381E+01
    0.13588E+01    0.27694E+01    0.20381E+01
    0.13691E+01    0.27583E+01    0.20147E+01
    0.13691E+01    0.27583E+01    0.20147E+01
    0.13824E+01    0.27473E+01    0.19873E+01
    0.13735E+01    0.27472E+01    0.20001E+01
    0.13735E+01    0.27472E+01    0.20001E+01
    0.13838E+01    0.27417E+01    0.19813E+01
    0.13838E+01    0.27417E+01    0.19813E+01
    0.13897E+01    0.27305E+01    0.19648E+01
    0.13897E+01    0.27305E+01    0.19648E+01
    0.13941E+01    0.27250E+01    0.19547E+01
    0.13971E+01    0.27082E+01    0.19384E+01
    0.13971E+01    0.27082E+01    0.19384E+01
    0.14015E+01    0.26970E+01    0.19244E+01
    0.14015E+01    0.26970E+01    0.19244E+01
    0.14044E+01    0.26914E+01    0.19164E+01
    0.14074E+01    0.26691E+01    0.18965E+01
    0.14074E+01    0.26691E+01    0.18965E+01
    0.14118E+01    0.26635E+01    0.18866E+01
    0.14118E+01    0.26635E+01    0.18866E+01
    0.14132E+01    0.26635E+01    0.18847E+01
    0.14132E+01    0.26467E+01    0.18728E+01
    0.14132E+01    0.26467E+01    0.18728E+01
    0.14176E+01    0.26355E+01    0.18591E+01
    0.14176E+01    0.26355E+01    0.18591E+01
    0.14191E+01    0.26243E+01    0.18493E+01
    0.14235E+01    0.26132E+01    0.18358E+01
    0.14235E+01    0.26132E+01    0.18358E+01
    0.14250E+01    0.25964E+01    0.18220E+01
    0.14250E+01    0.25964E+01    0.18220E+01
    0.14279E+01    0.25908E+01    0.18144E+01
    0.14294E+01    0.25796E+01    0.18047E+01
    0.14294E+01    0.25796E+01    0.18047E+01
    0.14309E+01    0.25740E+01    0.17989E+01
    0.14309E+01    0.25740E+01    0.17989E+01
    0.14324E+01    0.25628E+01    0.17892E+01
    0.14353E+01    0.25405E+01    0.17700E+01
    0.14353E+01    0.25405E+01    0.17700E+01
    0.14382E+01    0.25237E+01    0.17548E+01
    0.14382E+01    0.25237E+01    0.17548E+01
    0.14397E+01    0.25013E+01    0.17374E+01
    0.14397E+01    0.25013E+01    0.17374E+01
    0.14426E+01    0.24901E+01    0.17261E+01
    0.14426E+01    0.24901E+01    0.17261E+01
