
            525     4U 1608-52              1    0.10000E+01    0.10050E+07    0.20000E+09    0.25000E+02    0.11388E+00    0.21615E+00   -0.24560E+00    0.63889E-01    0.12309E+01    0.62831E+00    0.12974E+01    0.57858E+00
            526     4U 1608-52              1    0.10000E+01    0.10050E+07    0.21000E+09    0.23900E+02    0.10588E+00    0.32350E+00   -0.34639E+00    0.66882E-01    0.12309E+01    0.61531E+00    0.13184E+01    0.55066E+00
            527     4U 1608-52              1    0.10000E+01    0.10050E+07    0.22000E+09    0.22800E+02    0.97193E-01    0.44275E+00   -0.45849E+00    0.70456E-01    0.12309E+01    0.60316E+00    0.13464E+01    0.51886E+00
            528     4U 1608-52              1    0.10000E+01    0.10050E+07    0.23000E+09    0.21800E+02    0.87397E-01    0.57614E+00   -0.58394E+00    0.74641E-01    0.12309E+01    0.59178E+00    0.13842E+01    0.48139E+00
            529     4U 1608-52              1    0.10000E+01    0.10050E+07    0.24000E+09    0.21000E+02    0.75996E-01    0.72629E+00   -0.72519E+00    0.79632E-01    0.12309E+01    0.58108E+00    0.14357E+01    0.43557E+00
            530     4U 1608-52              1    0.10000E+01    0.10050E+07    0.25000E+09    0.21000E+02    0.61559E-01    0.88784E+00   -0.87670E+00    0.84278E-01    0.12309E+01    0.57100E+00    0.15079E+01    0.37690E+00
            531     4U 1608-52              1    0.10000E+01    0.10060E+07    0.20000E+09    0.25000E+02    0.11327E+00    0.22199E+00   -0.25102E+00    0.63887E-01    0.12309E+01    0.62750E+00    0.12985E+01    0.57700E+00
            532     4U 1608-52              1    0.10000E+01    0.10060E+07    0.21000E+09    0.23800E+02    0.10542E+00    0.33082E+00   -0.35329E+00    0.67173E-01    0.12309E+01    0.61452E+00    0.13199E+01    0.54880E+00
            533     4U 1608-52              1    0.10000E+01    0.10060E+07    0.22000E+09    0.22700E+02    0.96652E-01    0.45136E+00   -0.46661E+00    0.70806E-01    0.12309E+01    0.60239E+00    0.13486E+01    0.51660E+00
            534     4U 1608-52              1    0.10000E+01    0.10060E+07    0.23000E+09    0.21700E+02    0.86745E-01    0.58639E+00   -0.59362E+00    0.75083E-01    0.12309E+01    0.59102E+00    0.13873E+01    0.47854E+00
            535     4U 1608-52              1    0.10000E+01    0.10060E+07    0.24000E+09    0.21000E+02    0.75016E-01    0.73697E+00   -0.73520E+00    0.79856E-01    0.12309E+01    0.58034E+00    0.14401E+01    0.43186E+00
