0.095374385	853.317	        0.07958842	0.11116035
0.109375944	893.2432	0.0912725	0.127479388
0.109375944	911.6708	0.0912725	0.127479388
0.113001992	899.3857	0.09429838	0.131705604
0.116748258	914.742	        0.09742458	0.136071937
0.117512287	890.172	        0.09806215	0.136962424
0.115235084	841.0319	0.09616186	0.134308308
0.130439494	930.0983	0.1088497	0.152029287
0.145736248	942.3833	0.1216146	0.169857896
0.145736248	951.5971	0.1216146	0.169857896
0.147650005	1013.022	0.1232116	0.17208841
0.149588807	1022.236	0.1248295	0.174348114
0.151553134	979.2383	0.1264687	0.176637569
0.156577435	997.6658	0.1306614	0.182493471
0.159671682	1006.88	        0.1332435	0.186099864
